anio,provincia,canton,distrito,patrimonio_neto,activos_totales,pasivos_totales,cant_funcionarios,valor_total_bienes,valor_medio_bienes,cant_actos_registrales,ratio_bienes_vs_patrimonio,ratio_bienes_vs_activos,densidad_actos_por_func,var_valor_total_bienes,var_patrimonio_neto,var_activos_totales,var_pasivos_totales,dif_var_bienes_patrimonio,mz_ratio_bienes_vs_patrimonio,mz_ratio_bienes_vs_activos,mz_densidad_actos_por_func,mz_var_valor_total_bienes,mz_var_patrimonio_neto,mz_dif_var_bienes_patrimonio,max_abs_mz,avg_top3_abs_mz,combined_score,anomaly_flag
2019,Alajuela,Atenas,Atenas,232810586.87,380682139.82,147871552.95,56,3120091944.99,10297333.151782177,303,13.401847342673639,8.196055497810562,5.410714285714286,0.0,0.0,0.0,0.0,0.0,2.7858646674803462,2.0715062242277615,0.7291428018113753,-0.0006451670241867211,0.0003764015978388517,0.004032616737206531,2.7858646674803462,1.8621712311731609,1.8621712311731609,0
2019,Alajuela,Atenas,Concepción,356008477.3,542352553.76,186344076.46,70,3406006002.56,10677134.804263324,319,9.567204771053355,6.280058937580322,4.557142857142857,0.09163642053212517,0.5291764953060014,0.4246861016816903,0.2601752855264108,-0.43754007477387624,0.24422129077977922,-0.08901114669565613,-0.8125745278470137,1.1439236668352635,2.46832537850653,-1.9173798911247084,2.46832537850653,1.843209645488834,1.843209645488834,0
2019,Alajuela,Atenas,Escobal,270246178.13,390942358.87,120696180.74,47,3328843186.95,10306016.05866873,323,12.317817813314953,8.514920707420552,6.872340425531915,-0.02265492648926737,-0.2408995982916725,-0.27917300995507344,-0.35229397664321127,0.21824467180240514,2.0673579430640068,2.431065233176471,3.3691261398314154,-0.28361260117774956,-1.1231200545284983,0.9624317814127545,3.3691261398314154,2.622516438690631,2.622516438690631,0
2019,Alajuela,Atenas,Jesús,338850637.08,517231582.11,178380945.03,64,3408087898.12,10751065.92466877,317,10.057788078808827,6.589094742082473,4.953125,0.02380548037848751,0.25385912735090854,0.3230379629494049,0.4779336341575111,-0.23005364697242103,0.5693853162627834,0.2594640216438723,-0.09735315158812685,0.29669306113933513,1.1843129127278764,-1.0062244551447286,1.1843129127278764,0.9199742280451296,0.9199742280451296,0
2019,Alajuela,Atenas,Mercedes,360761408.08,533737050.09999996,172975642.02,65,3355490242.53,11037796.850427633,304,9.301134121823557,6.2867853035522305,4.676923076923077,-0.015433186338595917,0.06466203277294436,0.031911175885021015,-0.03030202025833495,-0.08009521911154027,0.06786673081264484,-0.08142635723040269,-0.5962279698389479,-0.19341070705430718,0.30194421317371795,-0.3476973497130408,0.5962279698389479,0.4152898442419022,0.4152898442419022,0
2019,Alajuela,Atenas,San Isidro,403344067.86,573179040.65,169834972.79,65,3641441482.81,10773495.511272188,338,9.02812703340399,6.353061128474813,5.2,0.08521891575056273,0.11803551828514092,0.07389779394668272,-0.018156713820070003,-0.03281660253457819,-0.11308537752967286,-0.006692365536642808,0.3485514944898489,1.0637669352489907,0.5508650177300621,-0.14007813839318564,1.0637669352489907,0.6543944824896338,0.6543944824896338,0
2019,Alajuela,Atenas,San José,444786555.92,612870375.39,168083819.47,64,3715980398.16,11159100.294774774,333,8.354524993395623,6.063240364319023,5.203125,0.020469617787865824,0.10274723582741419,0.06924770782788747,-0.010310911181793392,-0.08227761803954836,-0.5595562366887435,-0.3335002567458206,0.3541958570984305,0.2550270474180255,0.4795642298361863,-0.3572811314948268,0.5595562366887435,0.46546719933991887,0.46546719933991887,0
2019,Alajuela,Atenas,Santa Eulalia,248083463.49,390457982.06,142374518.57,55,3345297512.45,10968188.565409835,305,13.484564692014812,8.567624856330744,5.545454545454546,-0.09975372472189226,-0.44224154217777056,-0.36290282947428787,-0.1529552397194821,0.3424878174558783,2.8406906386535566,2.490495522146572,0.9725101246749104,-1.2466017824732403,-2.0621293431688876,1.5080328539500907,2.8406906386535566,2.4644385013230052,2.4644385013230052,0
2019,Alajuela,Central,Alajuela,304122139.25,476668303.97,172546164.72,54,3429931355.22,11245676.574491803,305,11.278137670866721,7.195635469472853,5.648148148148148,0.025299347055089516,0.22588638102538772,0.2207928275794666,0.21191745863685418,-0.2005870339702982,1.3782464812820312,0.9434118975951573,1.1579949026538991,0.3153519440381977,1.0538549062068663,-0.8768248365706685,1.3782464812820312,1.1966987633809323,1.1966987633809323,0
2019,Alajuela,Central,Carrizal,393445669.8,559501907.96,166056238.16,68,3476025477.95,11212985.412741935,310,8.83482967220599,6.212714252617898,4.5588235294117645,0.013438788697578419,0.2937093983696224,0.17377619468319683,-0.037612696697904346,-0.280270609672044,-0.2412049998012749,-0.16495040708931663,-0.8095389042592048,0.16720969481732886,1.3701647721028813,-1.2267471130698482,1.3701647721028813,1.1354835964773113,1.1354835964773113,0
2019,Alajuela,Central,Desamparados,353320086.68,535278965.14,181958878.46,59,3243033069.21,10774196.243222592,301,9.178739594692777,6.058584925641153,5.101694915254237,-0.06702839499249236,-0.10198506731665646,-0.04329376267601892,0.09576659375287888,0.034956672324164106,-0.013257711274508982,-0.3387498257385747,0.1709932402266594,-0.8378517214326731,-0.4752568602282782,0.1575412695653876,0.8378517214326731,0.5506194691331753,0.5506194691331753,0
2019,Alajuela,Central,Garita,216027427.09,359455025.68,143427598.59,50,3835802178.6,11588526.219335347,331,17.756088799789076,10.67116024137821,6.62,0.18278232035863828,-0.3885786989358043,-0.3284716024923826,-0.2117581741331206,0.5713610192944426,5.671903914511464,4.862485552859886,2.9133498638294943,2.282365736808192,-1.8118590453537156,2.51310612170572,5.671903914511464,4.482579777066949,4.482579777066949,1
